WELL_ID	WELL_TYPE	WELL_DEPTH_FT	APPROXIMATE_LATITUDE	APPROXIMATE_LONGITUDE	TOP_OF_SCREEN_FT	SCREEN_LENGTH_FT	SOURCE	SOURCE_NAME	OTHER_NAMES
ANT-07	MUNICIPAL	527	34.835	-118.2158333	0	0	USGS	ANT-07	ANT-07
ANT-U	MUNICIPAL	700	34.69013056	-118.1336944	235	458	USGS	ANT-U	ANT-U
ANT-08	MUNICIPAL	500	34.71941667	-118.2925	0	0	USGS	ANT-08	ANT-08
ANT-12	MUNICIPAL	1200	34.6645	-118.0728056	0	0	USGS	ANT-12	ANT-12
ANT-17	MUNICIPAL	552	34.68887222	-118.1371389	0	0	USGS	ANT-17	ANT-17
ANT-04	MUNICIPAL	765	34.80922222	-118.2549722	0	0	USGS	ANT-04	ANT-04
ANT-47	MUNICIPAL	1100	34.73755	-118.2176333	0	0	USGS	ANT-47	ANT-47
ANT-42	MUNICIPAL	0	34.78294444	-118.2813333	0	0	USGS	ANT-42	ANT-42
ANT-48	MUNICIPAL	0	34.86288889	-118.21575	0	0	USGS	ANT-48	ANT-48
ANT-16	MUNICIPAL	300	34.75813889	-118.1698611	0	0	USGS	ANT-16	ANT-16
ANT-06	MUNICIPAL	1000	34.71340278	-118.1295806	240	740	USGS	ANT-06	ANT-06
ANT-11	MUNICIPAL	125	34.751325	-118.0843056	80	22	USGS	ANT-11	ANT-11
ANT-05	MUNICIPAL	770	34.64745556	-118.1448833	0	0	USGS	ANT-05	ANT-05
ANT-10	MUNICIPAL	1200	34.684125	-118.0661389	360	840	USGS	ANT-10	ANT-10
ANT-03	MUNICIPAL	570	34.66408333	-118.1880278	390	170	USGS	ANT-03	ANT-03
ANT-41	MUNICIPAL	0	34.68880556	-118.2911111	0	0	USGS	ANT-41	ANT-41
ANT-14	MUNICIPAL	470	34.78411111	-118.1663889	0	0	USGS	ANT-14	ANT-14
ANT-30	MUNICIPAL	700	34.64054317	-118.0670153	400	300	USGS	ANT-30	ANT-30
ANT-54	MUNICIPAL	821	34.83025	-118.3174444	0	0	USGS	ANT-54	ANT-54
ANT-22	MUNICIPAL	365	34.85738889	-118.1558611	0	0	USGS	ANT-22	ANT-22
COAU-05	MUNICIPAL	909	33.92088889	-116.6635833	306	600	USGS	COAU-05	COAU-05
ANT-27	MUNICIPAL	220	34.74609415	-118.1311835	0	0	USGS	ANT-27	ANT-27
BV-07	MUNICIPAL	378	33.19086111	-116.2867222	0	0	USGS	BV-07	BV-07
BV-05	MUNICIPAL	580	33.22603056	-116.3483167	248	320	USGS	BV-05	BV-05
NOCO-CO-06	MUNICIPAL	37	39.29930556	-123.792	20	17	USGS	NOCO-CO-06	NOCO-CO-06
BVU-01	MUNICIPAL	392	33.21179167	-116.3468139	162	210	USGS	BVU-01	BVU-01
BV-03	MUNICIPAL	350	33.34926389	-116.4003444	150	200	USGS	BV-03	BV-03
BV-02	MUNICIPAL	490	33.27046667	-116.4040361	0	0	USGS	BV-02	BV-02
BV-04	MUNICIPAL	630	33.21831944	-116.392225	420	210	USGS	BV-04	BV-04
BV-01	MUNICIPAL	0	33.19811111	-116.2959444	0	0	USGS	BV-01	BV-01
CAMP-LU-01	MUNICIPAL	1236	41.96561111	-121.9241389	840	396	USGS	CAMP-LU-01	CAMP-LU-01
CAMP-LU-07	MUNICIPAL	87	41.78489954	-122.0057848	59	28	USGS	CAMP-LU-07	CAMP-LU-07
COAU-06	MUNICIPAL	1130	33.92069444	-116.8755833	580	530	USGS	COAU-06	COAU-06
COA-19	MUNICIPAL	0	33.89975	-116.3646111	0	0	USGS	COA-19	COA-19
COAU-10	MUNICIPAL	1070	33.95083333	-116.5183611	410	640	USGS	COAU-10	COAU-10
COA-07	MUNICIPAL	240	33.62611111	-116.2706389	0	0	USGS	COA-07	COA-07
COAU-07	MUNICIPAL	553	33.92222222	-116.6993889	225	328	USGS	COAU-07	COAU-07
COA-09	MUNICIPAL	0	33.8085	-116.5141667	0	0	USGS	COA-09	COA-09
