Country Name,Country Code_x,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Region,Income Group
Aruba,ABW,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,High income
Afghanistan,AFG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,South Asia,Low income
Angola,AGO,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,51.76051053,53.13282106,52.20403991,50.73213181,49.41731995,48.14635145,50.12844051,68.32800704,72.62492939,71.53709967,75.05660874,82.43408541,85.75827128,95.4218969,87.03618776,108.6303766,143.9118833,132.6812806,171.8795813,188.9616674,206.3405781,207.0312589,219.3563555,280.402518,312.4760173,Sub-Saharan Africa,Lower middle income
Albania,ALB,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,552.2521848,418.453589,453.6440739,536.3638251,596.4079593,663.7839954,904.3466403,694.6648028,734.8499135,1414.703784,1449.647413,1351.230796,1578.165919,1469.264539,1797.525487,1722.07285,1218.360146,1213.124369,1617.744156,1835.684072,1943.343354,2205.70392,2118.327776,2533.252829,2309.366503,Europe & Central Asia,Upper middle income
Andorra,AND,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,High income
United Arab Emirates,ARE,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,8355.669953,8015.122643,8150.427554,8958.029904,9275.617237,9273.445986,9394.714938,9820.333999,11133.68063,12128.52583,12232.62043,12048.59123,12401.23265,12266.92521,11902.35354,12303.14165,11823.08693,11688.32179,11613.97901,10966.43493,10968.25849,10612.4261,10698.21952,10952.71146,11263.53192,Middle East & North Africa,High income
Argentina,ARG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1299.552068,1342.926737,1405.104378,1490.725095,1569.674735,1641.043156,1719.665354,1838.897611,1957.585194,2023.735603,2078.28644,2109.496044,2003.437904,2167.719816,2279.29182,2392.893914,2357.952915,2438.089914,2752.090769,2708.936431,2847.256842,2901.273521,2974.695973,2943.869788,3052.381937,Latin America & Caribbean,High income
Armenia,ARM,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,2722.597731,2689.678999,1962.640982,1195.029107,1045.479739,1050.245824,1219.929834,1509.055289,1308.592318,1307.535698,1297.568273,1269.235623,1236.36366,1320.495751,1440.372831,1521.504841,1639.682271,1772.894892,1669.062175,1661.021455,1726.264557,1807.634701,1893.528,1933.983962,1965.783733,Europe & Central Asia,Upper middle income
American Samoa,ASM,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,East Asia & Pacific,Upper middle income
Antigua and Barbuda,ATG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,High income
